url,onContentLoad,onLoad,cumCacheTransferSize,cumTransferSize,cacheTransferSize,_transferSize,cumCacheCount,cumPageEntries,cacheCount,pageEntries,cacheability,cacheOverTotal
https://roblox.com/,9840.919000029564,16309.152999997139,730,1863224,730,1863224,1,108,1,108,0.00039179400866455133,0.00039164056623714963
https://gmx.net/,17418.101000010967,19924.60900002718,1679183,1184683,1679183,1184683,22,124,22,124,1.4174112399688354,0.5863343466489005
https://patch.com/,5780.671000003815,7332.505999982357,0,910539,0,910539,0,51,0,51,0.0,0.0
https://w3school.com.cn/,2251.9580000042915,4820.676999986172,0,218993,0,218993,0,21,0,21,0.0,0.0
https://xero.com/,4328.398000061512,25223.21399998665,0,3339425,0,3339425,0,100,0,100,0.0,0.0
https://legit.ng/,4883.150000035763,14875.430000007153,50686,1444882,50686,1444882,1,338,1,338,0.03507968124732677,0.03389080269168637
https://faradars.org/,8073.171000003815,22092.9960000515,0,2586151,0,2586151,0,162,0,162,0.0,0.0
https://ali213.net/,15817.725000023842,41000.52600002289,0,4592796,0,4592796,0,144,0,144,0.0,0.0
https://canadiantire.ca/,1181.6449999809265,1175.1609999537468,0,2117,0,2117,0,2,0,2,0.0,0.0
https://weather.gov/,3296.7939999699593,6341.277000010014,0,626211,0,626211,0,56,0,56,0.0,0.0
https://coolors.co/,5957.35799998045,9271.535999953747,0,2463567,0,2463567,0,48,0,48,0.0,0.0
https://easyhindityping.com/,1932.5120000243187,2661.445000052452,184992,1570617,184992,1570617,15,201,15,201,0.1177830113897914,0.10537198203016732
https://easyhits4u.com/,3249.435999929905,21065.870999991894,288724,2600517,288724,2600517,2,63,2,63,0.11102561529111327,0.0999307430567405
https://espn.com.mx/,13421.680999994278,30866.98900002241,190435,4483228,190435,4483228,2,245,2,245,0.042477206155921585,0.040746412396443644
https://techsmith.com/,2910.008999943733,12637.43499994278,881,2150950,881,2150950,1,126,1,126,0.00040958646179595063,0.00040941876941079483
https://worldofwarcraft.com/,11960.635000050068,39809.264000058174,27226,4511759,27226,4511759,2,119,2,119,0.0060344535246674305,0.005998257319643048
https://blackmagicdesign.com/,5479.130999982357,23428.624000012875,0,4110652,0,4110652,0,95,0,95,0.0,0.0
https://dnaindia.com/,6064.313000023365,26467.375000059605,664813,3484670,664813,3484670,48,793,48,793,0.1907821974534174,0.1602158630364313
https://job592.com/,4760.930000007153,7490.842000007629,0,382565,0,382565,0,21,0,21,0.0,0.0
https://akhbarona.com/,4644.940999984741,22270.828999996185,890783,4419921,890783,4419921,18,343,18,343,0.20153821753827728,0.16773350576496074
https://nhk.jp/,3824.5870000123978,27011.73900002241,0,3598394,0,3598394,0,80,0,80,0.0,0.0
https://juspay.in/,1583.7109999656677,11900.736999988556,29255,1571483,29255,1571483,10,89,10,89,0.018616173385267294,0.01827594522026715
https://galatta.com/,4401.425000071526,20590.97300004959,1978260,2572080,1978260,2572080,105,693,105,693,0.7691284874498461,0.43474993077440366
https://utexas.edu/,8129.286000013351,29524.90299999714,0,2784052,0,2784052,0,67,0,67,0.0,0.0
https://fanpage.it/,2275.647000014782,15502.959999978542,84707,1934945,84707,1934945,2,152,2,152,0.043777471711082226,0.04194138396119727
https://oldharper.xyz/,2013.611999988556,2013.2729999423027,0,21441,0,21441,0,3,0,3,0.0,0.0
https://sushi.com/,5652.013000071049,15471.222000002861,0,2060089,0,2060089,0,28,0,28,0.0,0.0
https://im.center/,2468.942999958992,7270.662000000477,0,700294,0,700294,0,14,0,14,0.0,0.0
https://ucsd.edu/,24963.75300002098,45915.16400003433,0,6710255,0,6710255,0,67,0,67,0.0,0.0
https://mangarockteam.com/,2125.79699999094,4605.162999987602,0,571103,0,571103,0,50,0,50,0.0,0.0
https://aragontelevision.es/,4107.177000045776,48151.79600006342,196602,6811755,196602,6811755,9,187,9,187,0.028862165477178788,0.028052509311383537
https://clustrmaps.com/,7898.240000009537,16504.257999956608,0,2514293,0,2514293,0,83,0,83,0.0,0.0
https://tunisia-sat.com/,8087.854999959469,8271.472000002861,0,913597,0,913597,0,47,0,47,0.0,0.0
https://rawpixel.com/,2502.440999984741,8904.661999940872,0,1727599,0,1727599,0,66,0,66,0.0,0.0
https://dudasbecasmec.com/,4679.585999965668,12065.269999980927,45300,1674649,45300,1674649,1,107,1,107,0.027050444600629744,0.026337990254362193
https://boston.com/,9557.207000017166,16504.245999991894,314684,3213695,314684,3213695,12,413,12,413,0.0979196843508796,0.08918656414177728
https://msnbc.com/,13431.720000088215,23785.813000023365,37977,5875102,37977,5875102,3,362,3,362,0.006464057985716674,0.006422542299874566
