url,onContentLoad,onLoad,cumCacheTransferSize,cumTransferSize,cacheTransferSize,_transferSize,cumCacheCount,cumPageEntries,cacheCount,pageEntries,cacheability,cacheOverTotal
https://roblox.com/,825.8079999685287,1112.6409999728203,0,1863204,0,1863204,0,108,0,108,0.0,0.0
https://gmx.net/,10652.0150000453,11036.506000041962,1690964,1185949,1690964,1185949,22,125,22,125,1.425831970852035,0.5877702940617252
https://patch.com/,701.2039999961853,938.5230000019073,0,1130859,0,1130859,0,69,0,69,0.0,0.0
https://w3school.com.cn/,2613.996999979019,3948.6520000100136,0,218970,0,218970,0,21,0,21,0.0,0.0
https://xero.com/,1646.67199999094,2776.560000002384,0,3138618,0,3138618,0,96,0,96,0.0,0.0
https://legit.ng/,847.8619999885559,1439.3090000152588,19406,1630025,19406,1630025,3,327,3,327,0.011905338875170627,0.011765269356523552
https://faradars.org/,4885.028999984264,10610.31099998951,0,2586885,0,2586885,0,162,0,162,0.0,0.0
https://jkforum.net/,1475.8199999928474,2333.9110000133514,90838,14731763,90838,14731763,1,156,1,156,0.006166132322383953,0.0061283441414904175
https://ali213.net/,14095.360000014305,19868.672999978065,0,4595835,0,4595835,0,144,0,144,0.0,0.0
https://canadiantire.ca/,434.45700001716614,426.82299995422363,0,2108,0,2108,0,2,0,2,0.0,0.0
https://weather.gov/,594.5199999809265,763.2969999313354,0,626246,0,626246,0,56,0,56,0.0,0.0
https://fao.org/,1088.958999991417,1972.7129999399185,176703,10137294,176703,10137294,12,209,12,209,0.01743098306116011,0.017132349369502434
https://coolors.co/,801.1119999885559,869.0599999427795,0,2458188,0,2458188,0,46,0,46,0.0,0.0
https://easyhindityping.com/,548.7480000257492,671.1480000019073,293753,1571836,293753,1571836,20,203,20,203,0.1868852730183047,0.15745858278538305
https://easyhits4u.com/,593.4699999690056,1595.486999988556,288722,2600477,288722,2600477,2,63,2,63,0.11102655397452083,0.09993150350668126
https://espn.com.mx/,1613.2179999947548,3048.1639999747276,145526,4449684,145526,4449684,1,251,1,251,0.032704794317978535,0.031669064090650914
https://techsmith.com/,692.4099999666214,1358.8159999847412,881,2033543,881,2033543,1,127,1,127,0.0004332340157055936,0.00043304640527245055
https://worldofwarcraft.com/,616.7139999270439,2089.9639999866486,64426,11227145,64426,11227145,3,120,3,120,0.005738413461302941,0.005705671956541742
https://blackmagicdesign.com/,879.961000084877,2539.447000026703,0,4110103,0,4110103,0,94,0,94,0.0,0.0
https://dnaindia.com/,1802.8170000314713,4448.354999959469,24796,3624009,24796,3624009,4,523,4,523,0.006842146363323049,0.006795649534573648
https://job592.com/,4868.682000041008,6438.941000044346,0,382685,0,382685,0,21,0,21,0.0,0.0
