url,onContentLoad,onLoad,cumCacheTransferSize,cumTransferSize,cacheTransferSize,_transferSize,cumCacheCount,cumPageEntries,cacheCount,pageEntries,cacheability,cacheOverTotal
https://roblox.com/,821.8289999961853,1019.3780000209808,0,1863140,0,1863140,0,108,0,108,0.0,0.0
https://gmx.net/,11581.291000008583,11860.497000038624,1680131,1184296,1680131,1184296,23,130,23,130,1.418674892087789,0.586550468907045
https://patch.com/,425.63699996471405,637.0730000138283,0,1130387,0,1130387,0,69,0,69,0.0,0.0
https://w3school.com.cn/,1597.2890000343323,1820.733999967575,20403,197508,20403,197508,1,21,1,21,0.10330214472325172,0.0936299681980258
https://xero.com/,1124.8379999995232,1992.9469999670982,35808,3100706,35808,3100706,2,97,2,97,0.0115483377011558,0.011416496148271615
https://legit.ng/,857.82900005579,1478.785000026226,144748,1464596,144748,1464596,2,298,2,298,0.09883135007879305,0.08994223733396962
https://faradars.org/,10372.51399999857,18122.379000008106,20403,2565787,20403,2565787,1,162,1,162,0.007951946128030114,0.007889211542848747
https://jkforum.net/,1761.7639999985695,2346.3919999599457,293216,14398211,293216,14398211,6,156,6,156,0.020364752259846727,0.01995830629659052
https://ali213.net/,15976.949999988079,29985.58300000429,0,4595971,0,4595971,0,144,0,144,0.0,0.0
https://canadiantire.ca/,292.4370000362396,286.244000017643,0,2113,0,2113,0,2,0,2,0.0,0.0
https://weather.gov/,524.2530000209808,740.801000058651,0,626028,0,626028,0,56,0,56,0.0,0.0
https://fao.org/,1002.0659999847412,1892.0450000166893,87481,10140051,87481,10140051,8,204,8,204,0.00862727416262502,0.008553480937532144
https://coolors.co/,732.5370000600815,734.2910000085831,20403,2444650,20403,2444650,1,48,1,48,0.008345979997136604,0.008276901145736015
https://easyhindityping.com/,473.8319999575615,585.5589999556541,338827,1457099,338827,1457099,31,272,31,272,0.23253533219088066,0.18866423226792195
https://easyhits4u.com/,600.2829999923706,1418.9169999957085,318154,2548628,318154,2548628,4,62,4,62,0.12483343979584309,0.11097948849964874
https://espn.com.mx/,1217.7890000343323,2453.211999952793,411844,4344266,411844,4344266,10,257,10,257,0.09480174556530378,0.08659261455264912
https://techsmith.com/,604.7070000171661,1113.6579999923706,55523,2063224,55523,2063224,4,121,4,121,0.026910795919396054,0.026205582827963887
https://worldofwarcraft.com/,514.0109999775887,1568.1949999928474,191976,4372666,191976,4372666,9,113,9,113,0.043903650541797616,0.042057186521966015
https://blackmagicdesign.com/,697.0750000476837,1256.3590000271797,35322,4072096,35322,4072096,2,94,2,94,0.008674156994334123,0.008599563034490281
https://dnaindia.com/,1812.1090000271797,12031.75199997425,1320009,3798063,1320009,3798063,69,665,69,665,0.34754794746690615,0.25791137756561455
https://job592.com/,3021.326000034809,4500.052999973297,0,382348,0,382348,0,21,0,21,0.0,0.0
https://akhbarona.com/,751.8160000443459,1077.2650000452995,1120834,3968629,1120834,3968629,60,325,60,325,0.282423476722062,0.22022637751762808
https://nhk.jp/,1500.7470000386238,2415.1200000047684,0,3662051,0,3662051,0,80,0,80,0.0,0.0
https://juspay.in/,303.80400002002716,554.6740000247955,29253,1571059,29253,1571059,10,89,10,89,0.018619924522249004,0.01827956048570529
https://galatta.com/,1199.6900000572205,1865.4490000605583,4319088,8262439,4319088,8262439,260,838,260,838,0.5227376565200663,0.3432880603443445
https://utexas.edu/,563.6669999361038,1378.0309999585152,20403,2760437,20403,2760437,1,68,1,68,0.007391221027685109,0.007336991700349535
https://fanpage.it/,683.3460000157356,2167.1610000133514,453607,1374880,453607,1374880,11,181,11,181,0.3299247934365181,0.24807778234135655
https://oldharper.xyz/,938.1400000452995,937.9670000076294,0,21685,0,21685,0,3,0,3,0.0,0.0
https://sushi.com/,430.75800001621246,467.2480000257492,0,2059951,0,2059951,0,28,0,28,0.0,0.0
https://im.center/,555.4160000085831,581.0820000767708,0,701827,0,701827,0,14,0,14,0.0,0.0
https://ucsd.edu/,1133.7960000038147,1602.4750000238419,46734,6655423,46734,6655423,2,63,2,63,0.007021942857726699,0.006972978997657023
https://mangarockteam.com/,1070.1329999566078,1094.652999997139,20403,550493,20403,550493,1,50,1,50,0.037063141583998344,0.0357385583363695
https://aragontelevision.es/,1786.0109999775887,6306.848999977112,305091,6894359,305091,6894359,15,196,15,196,0.04425226478632749,0.04237698713096139
https://clustrmaps.com/,958.2900000214577,1033.3659999966621,20403,2488027,20403,2488027,1,81,1,81,0.008200473708685638,0.008133772917721443
https://tunisia-sat.com/,1583.6339999437332,1965.0149999856949,0,890354,0,890354,0,37,0,37,0.0,0.0
https://rawpixel.com/,406.25700002908707,692.2820000052452,957,1548895,957,1548895,1,56,1,56,0.0006178598291039742,0.0006174783140583747
https://dudasbecasmec.com/,2507.2289999723434,2858.717999994755,488572,1120963,488572,1120963,12,105,12,105,0.43585024661830946,0.30354854041695273
https://boston.com/,582.9750000238419,2170.5770000219345,459551,1796585,459551,1796585,16,237,16,237,0.2557914042475029,0.20368940524861975
https://msnbc.com/,801.7179999947548,2822.682000041008,529637,27157323,529637,27157323,20,558,20,558,0.019502548170892985,0.019129474669663988
https://china.com/,5641.592999994755,6176.597000002861,200913,8653971,200913,8653971,7,137,7,137,0.02321627839982362,0.02268951236402419
https://hometax.go.kr/,4828.351000010967,4828.023999989033,1847,1674145,1847,1674145,3,101,3,101,0.001103249718513032,0.00110203389992315
https://edraak.org/,1104.2879999876022,1864.0189999938011,212339,3662409,212339,3662409,6,82,6,82,0.05797795931584921,0.054800725105219744
https://dns.la/,6311.912000000477,13352.810000002384,0,718092,0,718092,0,58,0,58,0.0,0.0
https://mmybt.com/,3191.804000020027,8148.982000052929,3213,1384965,3213,1384965,3,137,3,137,0.002319914221659031,0.002314544676547244
https://codeforces.com/,1518.222000002861,1831.7349999547005,0,725964,0,725964,0,99,0,99,0.0,0.0
https://wikiru.jp/,2426.0919999480247,8151.489000022411,20403,4093823,20403,4093823,1,118,1,118,0.004983850058979101,0.0049591344763267745
https://zeebiz.com/,2368.692999958992,3912.695999979973,270664,2818962,270664,2818962,29,527,29,527,0.09601548371350874,0.08760413072650217
https://aladtec.com/,709.1210000514984,1185.189000070095,46734,1828487,46734,1828487,2,62,2,62,0.02555883634939707,0.024921862543134915
https://roblox.com/,853.1640000343323,1016.7210000753403,730,3851642,730,1988502,1,216,1,108,0.0003671105183701098,0.00036697579769478877
https://gmx.net/,10122.332000017166,10514.193000018597,3373602,2369310,1693471,1185014,47,259,24,129,1.4290725679190288,0.5883202448510241
https://patch.com/,442.9180000424385,688.1620000600815,0,2260792,0,1130405,0,138,0,69,0.0,0.0
https://w3school.com.cn/,2709.977999985218,2937.4769999980927,40806,395012,20403,197504,2,42,1,21,0.10330423687621516,0.09363168691230662
https://xero.com/,4332.0819999575615,5263.448999941349,71616,6201494,35808,3100788,4,194,2,97,0.011548032306626573,0.011416197686919195
https://legit.ng/,775.7289999723434,1419.449999988079,289077,2933381,144329,1468785,4,595,2,297,0.09826421157623477,0.08947228776143533
https://faradars.org/,4850.376999974251,10525.366999983788,40806,5153981,20403,2588194,2,324,1,162,0.007883103044053113,0.007821445781007953
https://jkforum.net/,1806.1420000195503,2684.17300003767,586230,28885151,293014,14486940,12,312,6,156,0.020226079489526427,0.019825095531420464
https://ali213.net/,16485.023999989033,31119.747999966145,0,9191722,0,4595751,0,288,0,144,0.0,0.0
https://canadiantire.ca/,559.2519999742508,553.2689999938011,0,4224,0,2111,0,4,0,2,0.0,0.0
https://weather.gov/,710.1750000119209,912.0890000462532,0,1252082,0,626054,0,112,0,56,0.0,0.0
https://fao.org/,1625.132000029087,2822.824999988079,449920,20219199,362439,10079148,30,431,22,227,0.03595928941612922,0.034711102823737426
https://coolors.co/,781.8959999680519,784.8429999947548,40806,4880207,20403,2435557,2,96,1,48,0.008377139192390078,0.008307545725500414
https://easyhindityping.com/,496.33799999952316,687.0139999985695,714287,2757443,375460,1300344,65,538,34,266,0.288738979839181,0.22404768099372002
https://easyhits4u.com/,603.8610000014305,1432.1980000138283,636602,5098615,318448,2549987,8,124,4,62,0.12488220528183085,0.11101802899490489
https://espn.com.mx/,1094.6550000309944,2319.591000020504,824021,8588948,412177,4244682,20,517,10,260,0.09710432960584563,0.08850965854882013
https://techsmith.com/,592.6800000071526,1246.6779999732971,111258,4126826,55735,2063602,8,244,4,123,0.027008599526459075,0.026298318766670898
https://worldofwarcraft.com/,560.0990000367165,1421.6899999976158,384184,8745237,192208,4372571,18,225,9,112,0.04395766243704219,0.04210674821278314
https://blackmagicdesign.com/,797.1669999957085,1212.4399999380112,70644,8143967,35322,4071871,4,188,2,94,0.008674636303556768,0.008600034135235426
https://dnaindia.com/,1879.2770000100136,3832.4549999833107,2351200,6617231,1031191,2819168,133,1122,64,457,0.36577848499982973,0.267816845130545
https://job592.com/,4950.436999976635,7214.48299998045,0,764700,0,382352,0,42,0,21,0.0,0.0
https://akhbarona.com/,830.0779999494553,1302.1489999890327,2803434,7580032,1682600,3611403,131,709,71,384,0.4659131091157647,0.3178313272584092
https://nhk.jp/,1820.7210000157356,5414.083999991417,0,7558113,0,3896062,0,160,0,80,0.0,0.0
https://juspay.in/,343.11599999666214,1039.7849999666214,53891,3142096,24638,1571037,19,177,9,88,0.015682635100255436,0.015440487567957134
https://galatta.com/,1287.963999927044,1927.1890000104904,9700066,10984041,5380978,2721602,645,1987,385,1149,1.9771362601879334,0.6641067413095582
https://utexas.edu/,777.4559999704361,1734.0830000042915,40806,5524266,20403,2763829,2,136,1,68,0.007382149908695509,0.0073280531220099475
https://fanpage.it/,606.6980000138283,4086.6440000534058,1046624,3591598,593017,2216718,24,371,13,190,0.2675202709591387,0.21105798233641251
https://oldharper.xyz/,877.6280000209808,877.4469999670982,0,43360,0,21675,0,6,0,3,0.0,0.0
https://sushi.com/,516.113000035286,550.6300000548363,0,4119929,0,2059978,0,56,0,28,0.0,0.0
https://im.center/,1216.7979999780655,1242.4459999799728,0,1403050,0,701223,0,28,0,14,0.0,0.0
https://ucsd.edu/,1227.4909999966621,1675.1759999990463,93471,13310924,46737,6655501,4,126,2,63,0.007022311318111139,0.006973342337290917
https://mangarockteam.com/,1019.7780000567436,1028.8950000405312,40806,1100679,20403,550186,2,100,1,50,0.03708382256182455,0.0357577871287389
https://aragontelevision.es/,2016.3999999761581,6832.184000015259,595898,13641695,290807,6747336,33,370,18,174,0.043099528465753004,0.04131871148398093
https://clustrmaps.com/,1078.676999926567,1328.0379999876022,72376,4944641,51973,2456614,4,162,3,81,0.02115635586217452,0.02071803768416244
https://tunisia-sat.com/,2004.3359999656677,2315.79699999094,0,1779085,0,888731,0,75,0,38,0.0,0.0
https://rawpixel.com/,466.57399994134903,919.0159999728203,1919,3097647,962,1548752,2,112,1,56,0.0006211452834282054,0.0006207597014674966
https://dudasbecasmec.com/,2593.3590000271797,3318.9310000538826,757968,2462545,269396,1341582,20,211,8,106,0.2008047215898842,0.16722512660011496
https://boston.com/,637.4580000042915,2327.7930000424385,1033758,3466228,574207,1669643,36,481,20,244,0.34391004544085174,0.25590257815807654
https://msnbc.com/,1117.8489999771118,3207.5529999136925,1019701,53186633,490064,26029310,34,903,14,345,0.01882739112177772,0.018479470895504547
https://china.com/,6738.553000032902,11848.819000005722,402319,17308284,201406,8654313,14,274,7,137,0.023272326757768063,0.02274304322438415
https://hometax.go.kr/,7971.834999978542,7971.546000003815,3696,3348159,1849,1674014,6,202,3,101,0.0011045307864808777,0.0011033121442504549
https://edraak.org/,1910.0380000472069,2613.4220000505447,410757,7393483,198418,3731074,11,165,5,83,0.05317986188427246,0.05049456774565262
https://dns.la/,9159.039000034332,15142.26399999857,0,1564095,0,846003,0,116,0,58,0.0,0.0
https://mmybt.com/,3290.2969999313354,8636.332000017166,6426,2701939,3213,1316974,6,277,3,140,0.00243968369914668,0.0024337461283893873
https://codeforces.com/,1684.0840000510216,1967.223000049591,0,1452319,0,726355,0,198,0,99,0.0,0.0
https://wikiru.jp/,2373.341000020504,7373.636000037193,40806,8193196,20403,4099373,2,237,1,119,0.004977102595933573,0.004952453725639452
https://zeebiz.com/,3117.8610000014305,5042.388000011444,738822,5056516,468158,2237554,52,887,23,360,0.20922757618363624,0.17302580614640434
https://aladtec.com/,691.164999961853,1192.6409999728203,93471,3656995,46737,1828508,4,124,2,62,0.025560183493864942,0.02492314337593221
