url,onContentLoad,onLoad,cumCacheTransferSize,cumTransferSize,cacheTransferSize,_transferSize,cumCacheCount,cumPageEntries,cacheCount,pageEntries,cacheability,cacheOverTotal
https://roblox.com/,9802.163999974728,16188.747999966145,731,1863217,731,1863217,1,108,1,108,0.0003923321867501209,0.00039217832257123055
https://gmx.net/,17451.638000011444,19902.92399996519,1690964,1185729,1690964,1185729,22,124,22,124,1.4260965195251192,0.5878152447967162
https://patch.com/,5858.591999948025,7412.46799993515,0,909370,0,909370,0,51,0,51,0.0,0.0
https://w3school.com.cn/,2261.066000044346,4691.972000002861,0,218356,0,218356,0,21,0,21,0.0,0.0
https://xero.com/,4937.201000034809,24143.530000030994,86494,3302458,86494,3302458,3,101,3,101,0.026190794856437237,0.025522344370767128
https://legit.ng/,4723.1389999985695,7186.173999965191,71089,1386672,71089,1386672,2,302,2,302,0.05126590859265926,0.048765881375616445
https://faradars.org/,1287.1009999513626,3205.5950000286102,20403,421924,20403,421924,151,162,151,162,0.048357050084849404,0.04612650821677176
https://jkforum.net/,2226.073999941349,10943.981999993324,203453,1329568,203453,1329568,124,155,124,155,0.15302188379985077,0.13271377234884585
https://ali213.net/,14481.710999965668,39700.842999994755,0,4592418,0,4592418,0,144,0,144,0.0,0.0
https://canadiantire.ca/,1172.416000008583,1164.7919999957085,0,2114,0,2114,0,2,0,2,0.0,0.0
https://weather.gov/,3247.90600001812,6281.043999969959,0,626018,0,626018,0,56,0,56,0.0,0.0
https://fao.org/,1271.8669999837875,2294.929000020027,20403,185155,20403,185155,154,201,154,201,0.11019416164834868,0.09925665748839743
https://coolors.co/,6219.693000018597,8588.152999997139,20403,2436106,20403,2436106,1,48,1,48,0.008375251323218284,0.008305689089679704
https://easyhindityping.com/,1941.7179999947548,2731.1639999747276,486361,1677210,486361,1677210,36,246,36,246,0.2899821727750252,0.22479548856959167
https://easyhits4u.com/,2977.8370000123978,20836.37999999523,340026,2609792,340026,2609792,5,64,5,64,0.13028854406787974,0.1152701624303601
https://espn.com.mx/,12095.946000039577,28298.438000023365,509952,4099900,509952,4099900,16,231,16,231,0.12438157028220201,0.11062220652637005
https://techsmith.com/,3035.055999994278,12863.64200001955,55523,2064208,55523,2064208,5,130,5,130,0.026897967646671267,0.026193417938408223
https://worldofwarcraft.com/,11907.356000006199,38858.971000015736,104793,4373179,104793,4373179,8,113,8,113,0.023962659657882746,0.02340188817616546
https://blackmagicdesign.com/,5512.979999959469,23165.379000008106,35322,4072067,35322,4072067,2,94,2,94,0.008674218768993732,0.008599623751244404
https://dnaindia.com/,5732.567999958992,22666.65699994564,1503410,2640851,1503410,2640851,55,290,55,290,0.569289975087576,0.3627691402640905
https://job592.com/,4567.935000002384,7301.205999970436,0,382236,0,382236,0,21,0,21,0.0,0.0
https://akhbarona.com/,4034.2620000243187,23132.929999947548,1567063,4573400,1567063,4573400,78,400,78,400,0.34264726461713385,0.25520274285505834
https://nhk.jp/,3626.9620000720024,27711.58400005102,0,3730761,0,3730761,0,80,0,80,0.0,0.0
https://juspay.in/,1676.766000032425,11951.350000023842,29242,1570946,29242,1570946,10,89,10,89,0.01861426172510067,0.018274102792921833
https://galatta.com/,3973.833000063896,16927.99800002575,3734951,2113059,3734951,2113059,248,774,248,774,1.7675564193900881,0.6386704195102265
https://utexas.edu/,7912.0479999780655,29334.80799996853,20403,2760392,20403,2760392,1,67,1,67,0.0073913415196102585,0.007337110430650228
https://fanpage.it/,2355.412000000477,13723.379999995232,651611,2360838,651611,2360838,15,202,15,202,0.27600834957756526,0.21630606858406565
https://oldharper.xyz/,1989.0379999876022,1988.8229999542236,0,21680,0,21680,0,3,0,3,0.0,0.0
https://sushi.com/,10656.618000030518,20471.165000021458,0,2060124,0,2060124,0,28,0,28,0.0,0.0
https://im.center/,2728.1669999957085,7550.5759999752045,0,701128,0,701128,0,14,0,14,0.0,0.0
https://ucsd.edu/,25115.550999999046,45615.01700001955,46740,6655948,46740,6655948,2,63,2,63,0.007022290438567128,0.006973321747931576
https://mangarockteam.com/,2307.597000002861,4805.060000061989,20403,550856,20403,550856,1,50,1,50,0.037038717922651294,0.03571584867809523
https://aragontelevision.es/,4498.037999987602,49432.84799998999,941728,6941431,941728,6941431,18,207,18,207,0.13566770310041257,0.1194607390260681
https://clustrmaps.com/,8076.68599998951,16363.336999952793,20403,2488618,20403,2488618,1,83,1,83,0.008198526250312423,0.008131857007175308
https://tunisia-sat.com/,8108.7639999985695,8251.509000003338,0,913302,0,913302,0,45,0,45,0.0,0.0
https://rawpixel.com/,2482.7659999728203,8894.87199997902,966,2286255,966,2286255,1,68,1,68,0.0004225250464187066,0.0004223465944043011
https://dudasbecasmec.com/,3889.96899998188,8924.30999994278,489959,1228662,489959,1228662,12,109,12,109,0.39877443918669253,0.28508845172961345
https://boston.com/,9599.432000041008,16230.574000060558,445062,2131241,445062,2131241,15,214,15,214,0.20882762672076974,0.17275219568505723
https://msnbc.com/,13198.380999982357,24976.761999964714,492639,5441168,492639,5441168,17,348,17,348,0.09053920040697144,0.083022417142991
https://china.com/,3198.7710000276566,4481.672000050545,202880,60839,202880,60839,112,135,112,135,3.334703068755239,0.7693036906707518
https://hometax.go.kr/,18901.22399997711,18900.93400001526,1847,1674231,1847,1674231,3,101,3,101,0.001103193048032201,0.001101977354275875
https://edraak.org/,17439.415000021458,28702.523000001907,235686,3737192,235686,3737192,5,85,5,85,0.06306499639301379,0.059323744650603416
https://dns.la/,13144.638999938965,20780.797999978065,0,845997,0,845997,0,58,0,58,0.0,0.0
https://mmybt.com/,4552.336000025272,16982.495999991894,4284,1288882,4284,1288882,4,139,4,139,0.003323810868644298,0.003312799748833483
https://codeforces.com/,979.1969999670982,975.1399999856949,0,691,0,691,0,1,0,1,0.0,0.0
https://wikiru.jp/,3015.2080000042915,29510.710000038147,50202,4059817,50202,4059817,2,119,2,119,0.012365581995444623,0.01221454207389309
https://zeebiz.com/,9112.648000001907,14147.555999994278,572640,2108100,572640,2108100,26,267,26,267,0.2716379678383378,0.21361265919111888
https://aladtec.com/,10850.268999993801,11673.667999982834,46740,1828545,46740,1828545,2,62,2,62,0.02556130694076438,0.02492421151984898
https://roblox.com/,10526.524999976158,17129.32800000906,1461,3851705,730,1988488,2,216,1,108,0.0003671131030209888,0.00036697838044900055
https://gmx.net/,17060.027000010014,19574.62800002098,3365538,2370748,1674574,1185019,44,247,22,123,1.413119958414169,0.5855987198178202
https://patch.com/,5814.352000057697,7362.341000020504,0,1818807,0,909437,0,102,0,51,0.0,0.0
https://w3school.com.cn/,2311.3490000367165,4671.17300003767,0,436709,0,218353,0,42,0,21,0.0,0.0
https://xero.com/,5899.671000003815,24572.907000005245,172988,6605364,86494,3302906,6,202,3,101,0.026187242385947405,0.02551897090930548
https://legit.ng/,4927.070000052452,7365.1960000395775,142178,2790214,71089,1403542,4,611,2,309,0.05064971336803601,0.048207992372329075
https://faradars.org/,8862.638000011444,24193.54199999571,40806,3009701,20403,2587777,152,325,1,163,0.007884373344380137,0.007822696286299259
https://jkforum.net/,2298.0859999656677,12229.019000053406,558799,2843843,355346,1514275,249,310,125,155,0.2346641131894801,0.19006311974458995
https://ali213.net/,20551.155000030994,46251.21299999952,0,9188163,0,4595745,0,288,0,144,0.0,0.0
https://canadiantire.ca/,1300.6879999637604,1294.3559999465942,0,4225,0,2111,0,4,0,2,0.0,0.0
https://weather.gov/,3265.7240000367165,6331.281999945641,0,1252042,0,626024,0,112,0,56,0.0,0.0
https://fao.org/,1259.42199999094,2249.2549999952316,2496286,305623,2475883,120468,312,396,158,195,20.55220473486735,0.9536010346829069
https://coolors.co/,6001.402999997139,8371.808000028133,40806,4869952,20403,2433846,2,96,1,48,0.008383028342795723,0.008313337399750391
https://easyhindityping.com/,1901.1850000023842,2651.0830000042915,999152,3517411,512791,1840201,73,455,37,209,0.2786603202584935,0.2179314676802981
https://easyhits4u.com/,2958.501999974251,20616.02799999714,659218,5189862,319192,2580070,9,128,4,64,0.12371447286313937,0.11009422397837794
https://espn.com.mx/,12738.817000031471,29956.552000045776,968935,8552870,458983,4452970,29,500,13,269,0.1030734543462004,0.09344205858647263
https://techsmith.com/,2848.3490000367165,12613.48299998045,110934,4128156,55411,2063948,10,252,5,122,0.026847091108884526,0.026145169364888157
https://worldofwarcraft.com/,11828.471000015736,38800.16099995375,259985,8746239,155192,4373060,16,226,8,113,0.03548819362185746,0.03427194422925226
https://blackmagicdesign.com/,5943.224999964237,23269.459999978542,70644,8145099,35322,4073032,4,189,2,95,0.008672163636327924,0.008597603809214104
https://dnaindia.com/,5929.203999996185,13455.036000013351,3022674,4391837,1519264,1750986,119,567,64,277,0.8676619915864547,0.46457121015212904
https://job592.com/,4951.18799996376,7680.931999981403,0,764589,0,382353,0,42,0,21,0.0,0.0
https://akhbarona.com/,4163.592999994755,23252.865999996662,2398405,8610870,831342,4037470,131,727,53,327,0.20590666927556117,0.1707484289802112
https://nhk.jp/,3735.4750000834465,26243.603000044823,0,7220783,0,3490022,0,160,0,80,0.0,0.0
https://juspay.in/,1696.8530000448227,12001.40600001812,58492,3141942,29250,1570996,20,178,10,89,0.01861876160092069,0.018278439689897678
https://galatta.com/,3953.970999956131,19806.648000001907,9384148,5042293,5649197,2929234,623,1833,375,1059,1.9285577731243049,0.6585349931706626
https://utexas.edu/,7992.348000049591,29415.44200003147,40806,5524068,20403,2763676,2,134,1,67,0.007382558592251769,0.0073284558376396644
https://fanpage.it/,2306.53100001812,12712.45100003481,1165177,3870102,513566,1509264,28,399,13,197,0.3402757900539601,0.25388490382286205
https://oldharper.xyz/,2041.7199999690056,2041.5509999394417,0,43347,0,21667,0,6,0,3,0.0,0.0
https://sushi.com/,5654.143000006676,15471.589000046253,0,4120219,0,2060095,0,56,0,28,0.0,0.0
https://im.center/,2890.076999902725,7710.7009999752045,0,1402292,0,701164,0,28,0,14,0.0,0.0
https://ucsd.edu/,25133.860000014305,45625.52600002289,93480,13311392,46740,6655444,4,126,2,63,0.007022822218923336,0.00697384613731882
https://mangarockteam.com/,2358.1240000128746,4823.878000020981,40806,1101186,20403,550330,2,100,1,50,0.037074119164864715,0.03574876518442074
https://aragontelevision.es/,4209.552999973297,47891.73799997568,1249201,13703582,307473,6762151,33,387,15,180,0.045469703353267325,0.04349212914293603
https://clustrmaps.com/,7806.8610000014305,16083.09200000763,88323,4929952,67920,2441334,5,166,4,83,0.027820855319263975,0.027067805810013654
https://tunisia-sat.com/,8290.144999980927,8432.930000007153,0,1817536,0,904234,0,91,0,46,0.0,0.0
https://rawpixel.com/,2483.3409999608994,8715.12199997902,1933,4312206,967,2025951,2,136,1,68,0.00047730670682558465,0.0004770789938221477
https://dudasbecasmec.com/,3898.272000014782,8952.199000000954,978991,2449418,489032,1220756,24,216,12,107,0.40059766243213224,0.2860190854070797
https://boston.com/,9560.59399998188,15308.224999964237,1095508,4133516,650446,2002275,38,471,23,257,0.324853479167447,0.24519955170558833
https://msnbc.com/,13207.646000027657,25587.62600004673,1078881,10652949,586242,5211781,40,703,23,355,0.11248400498793024,0.10111067168929823
https://china.com/,3158.123000025749,4458.9180000424385,424464,99942,221584,39103,224,269,112,134,5.666675191161803,0.8500001918008954
https://hometax.go.kr/,9669.070999979973,9668.88899999857,3694,3348714,1847,1674483,6,202,3,101,0.001103027023863485,0.0011018116957878222
https://edraak.org/,17377.57400006056,28654.360000014305,464891,7466142,229205,3728950,10,171,5,86,0.06146636452620711,0.05790702991671625
https://dns.la/,9317.044999957085,18460.99500000477,0,1692131,0,846134,0,116,0,58,0.0,0.0
https://mmybt.com/,4732.420000016689,18901.90600001812,7497,2846640,3213,1557758,7,276,3,137,0.0020625796818247765,0.0020583342035181947
