url,onContentLoad,onLoad,cacheTransferSize,_transferSize,totalTransferSize,cacheCount,pageEntries,cacheability,cacheOverTotal
https://roblox.com/,1077.0869999974966,1358.1439999938011,0,2021011,,0,108,0.0,0.0
https://gmx.net/,9976.925999999046,10449.096000000834,1872109,1171896,,27,123,1.5975043860547353,0.615015087031723
https://patch.com/,371.20200000703335,479.65899999439716,0,1133127,,0,70,0.0,0.0
https://w3school.com.cn/,1543.6409999877214,1775.1319999843836,20403,197338,,1,21,0.10339113602043194,0.093703069242816
https://xero.com/,1162.9450000077486,2527.6689999997616,35808,3256820,,2,98,0.01099477404339202,0.010875203636730295
https://legit.ng/,1245.1760000139475,2046.272000014782,144749,1332843,,2,307,0.10860168827086161,0.09796276644703003
https://faradars.org/,6071.831000000238,13113.28599999845,20403,2937460,,1,164,0.00694579670872114,0.006897885399019495
https://jkforum.net/,1818.7010000050068,3199.2699999958277,293449,16591658,,6,156,0.017686538620793654,0.017379161411295765
https://ali213.net/,12887.73600000143,17621.087000012398,0,4586855,,0,144,0.0,0.0
https://canadiantire.ca/,200.0080000013113,194.03900000452995,0,2110,,0,2,0.0,0.0
https://weather.gov/,364.542999997735,595.6909999996424,0,939112,,0,56,0.0,0.0
https://fao.org/,1057.5000000149012,2219.069000020623,65978,9945605,,3,197,0.00663388501755298,0.0065901666100156185
https://coolors.co/,656.5009999871254,700.5039999932051,20403,2416985,,1,48,0.008441508739193665,0.00837084616811111
https://easyhindityping.com/,372.08899998664856,448.9880000054836,355412,1693843,,30,217,0.20982582210984135,0.17343473603821877
https://easyhits4u.com/,418.2580000013113,1565.4650000035763,349059,2549442,,5,64,0.1369158427608865,0.12042742093240609
https://espn.com.mx/,1023.6499999910593,2038.5419999957085,412592,4281433,,10,245,0.09636773482149551,0.08789727366172954
https://techsmith.com/,187.6920000165701,658.7320000231266,77790,1943094,,4,119,0.04003408996167967,0.038493055514319474
https://worldofwarcraft.com/,885.4669999927282,1833.8310000151396,192212,4372128,,9,113,0.04396303127447321,0.04211167441513998
https://blackmagicdesign.com/,746.96099999547,4183.927000001073,35322,4072093,,2,94,0.008674163384775347,0.008599569315494052
https://dnaindia.com/,1720.082000002265,4341.795000001788,722358,3340665,,23,494,0.2162317981599472,0.17778831180625854
https://job592.com/,3672.7990000098944,5105.485000014305,0,382407,,0,21,0.0,0.0
https://akhbarona.com/,738.2370000034571,1304.1870000064373,1496763,4087857,,55,383,0.3661485712440528,0.26801519172298205
https://nhk.jp/,1747.8659999966621,1912.1089999973774,0,3434073,,0,80,0.0,0.0
https://juspay.in/,261.570999994874,323.8729999959469,29499,1571023,,10,89,0.018776937065848178,0.018430861931294916
https://galatta.com/,1100.1650000065565,2252.959000006318,3801418,2261081,,281,643,1.6812391948806789,0.6270381240475256
https://utexas.edu/,415.2230000048876,1379.7639999985695,20403,2760538,,1,68,0.007390950604556069,0.007336725230776202
https://fanpage.it/,749.3269999921322,4256.800999984145,609742,1786634,,18,226,0.34127974727896143,0.25444337616467533
https://oldharper.xyz/,827.3319999873638,827.1340000033379,0,21518,,0,3,0.0,0.0
https://sushi.com/,284.95100001990795,386.3600000143051,0,2059969,,0,28,0.0,0.0
https://im.center/,806.457000002265,884.8229999989271,0,701019,,0,14,0.0,0.0
https://ucsd.edu/,1113.0600000023842,3885.9000000059605,46733,6654930,,2,63,0.007022312781652098,0.006973343780491499
https://mangarockteam.com/,1291.915999993682,1293.3139999955893,20403,544343,,1,50,0.037481881828185536,0.0361277459247166
https://aragontelevision.es/,1500.3480000048876,4236.134000003338,292977,8486259,,19,173,0.034523692948801116,0.03337158267530341
https://clustrmaps.com/,929.0400000065565,1193.1730000078678,20403,2488270,,1,81,0.008199672865082969,0.00813298504827054
https://tunisia-sat.com/,1340.915999993682,1603.5219999998808,0,921724,,0,53,0.0,0.0
https://rawpixel.com/,416.53799998760223,627.4879999905825,966,2535187,,1,69,0.0003810369807039875,0.00038089184682469864
https://dudasbecasmec.com/,3121.313000023365,3388.246000006795,313990,1378566,,9,111,0.22776566374043752,0.18551232573693277
https://boston.com/,443.9610000103712,1004.4650000184774,517496,2905120,,30,346,0.17813240072699235,0.1511989659371662
https://msnbc.com/,2328.362000003457,3034.5100000053644,464052,27737340,,15,365,0.016730227195542183,0.01645493243737756
https://china.com/,3440.656999990344,3828.3239999860525,201411,45739,,112,137,4.40348499092678,0.8149342504551892
https://hometax.go.kr/,12188.945999994874,12188.766000002623,1847,1709979,,3,102,0.0010801302238214621,0.001078964801329107
https://edraak.org/,1136.4449999928474,1480.4189999997616,235712,3682566,,5,85,0.06400754256678631,0.060157038372468725
https://dns.la/,14656.102000012994,29435.19200000167,0,845969,,0,58,0.0,0.0
https://mmybt.com/,3709.3720000088215,10982.579999998212,4284,1611871,,4,137,0.0026577809266374293,0.002650735851449892
https://codeforces.com/,1016.2679999917746,1226.8909999877214,0,725017,,0,100,0.0,0.0
https://wikiru.jp/,1882.0330000072718,6884.143000006676,20403,4140237,,1,119,0.004927978760636166,0.004903812874942317
https://zeebiz.com/,1687.8410000056028,2951.5609999895096,260202,2392264,,15,357,0.10876809582888845,0.09809814715815396
https://aladtec.com/,601.1259999871254,1054.5259999930859,0,1854705,,0,62,0.0,0.0
https://roblox.com/,929.8179999738932,1165.5519999861717,0,3916889,,0,216,0.0,0.0
https://gmx.net/,10355.555999994278,10851.869000002742,3572278,2368727,,51,248,1.5081003425046449,0.6012918689682974
https://patch.com/,445.25799998641014,592.8479999899864,0,2266194,,0,140,0.0,0.0
