url,onContentLoad,onLoad,cumCacheTransferSize,cumTransferSize,cacheTransferSize,_transferSize,cumCacheCount,cumPageEntries,cacheCount,pageEntries,cacheability,cacheOverTotal
https://roblox.com/,670.011000007391,823.9839999973774,0,2020887,0,2020887,0,108,0,108,0.0,0.0
https://gmx.net/,10875.557000011206,11248.604000002146,1759221,1171855,1759221,1171855,25,128,25,128,1.5012275409500322,0.6001963101605008
https://patch.com/,353.5789999961853,463.31399999558926,0,1126129,0,1126129,0,70,0,70,0.0,0.0
https://w3school.com.cn/,2403.8349999934435,2632.134000003338,20403,197363,20403,197363,1,21,1,21,0.10337803945015023,0.09369231193115546
https://xero.com/,2121.7360000014305,2832.2580000162125,35808,3256892,35808,3256892,2,97,2,97,0.010994530982298462,0.010874965833510494
https://legit.ng/,799.7489999979734,1560.3549999892712,20403,1596607,20403,1596607,1,301,1,301,0.012778974412613749,0.01261773272892561
https://faradars.org/,8240.972999989986,15216.052000001073,20403,2923715,20403,2923715,1,163,1,163,0.006978450361953884,0.006930089079310001
https://jkforum.net/,1600.5829999893904,2257.5379999876022,296140,15431214,296140,15431214,7,156,7,156,0.019190972272175085,0.01882961367818134
https://ali213.net/,2427.375,4525.274999991059,0,468864,0,468864,131,145,131,145,0.0,0.0
https://canadiantire.ca/,316.886000007391,311.45299999415874,0,2111,0,2111,0,2,0,2,0.0,0.0
https://weather.gov/,323.6810000091791,503.9539999961853,0,938969,0,938969,0,56,0,56,0.0,0.0
https://fao.org/,872.9860000014305,1759.9060000032187,601925,10006702,601925,10006702,13,203,13,203,0.06015218600493949,0.05673919914424364
https://coolors.co/,670.2539999932051,710.126999989152,20403,2414925,20403,2414925,1,48,1,48,0.008448709587254263,0.008377926915799432
https://easyhindityping.com/,1553.9840000122786,2610.9090000092983,225208,1327870,225208,1327870,19,188,19,188,0.16960093985103963,0.14500752698834185
https://easyhits4u.com/,464.3899999856949,1018.3429999947548,349213,2550819,349213,2550819,5,64,5,64,0.13690230471076154,0.12041694712334208
https://espn.com.mx/,1046.2140000015497,2046.6820000112057,412802,4288169,412802,4288169,11,254,11,254,0.09626532909500535,0.087812071165723
https://techsmith.com/,309.57100000977516,1346.4109999984503,77465,1943689,77465,1943689,4,121,4,121,0.03985462694906438,0.03832711411401605
https://worldofwarcraft.com/,429.6659999936819,5790.116999998689,192212,4372853,192212,4372853,9,114,9,114,0.043955742395182275,0.042104986456928874
https://blackmagicdesign.com/,583.9860000163317,960.1570000052452,35322,4071921,35322,4071921,2,94,2,94,0.008674529785818536,0.008599929441720396
https://dnaindia.com/,1555.5389999896288,2197.902999997139,1064333,4596949,1064333,4596949,46,419,46,419,0.23153030412127695,0.18800211683502077
https://job592.com/,4025.9619999974966,5446.196999996901,0,382284,0,382284,0,21,0,21,0.0,0.0
https://akhbarona.com/,731.4810000061989,1177.0890000015497,1348643,3931184,1348643,3931184,49,360,49,360,0.3430628024534084,0.25543317991290243
https://nhk.jp/,3429.2320000231266,4033.550000011921,0,2976411,0,2976411,0,79,0,79,0.0,0.0
https://juspay.in/,205.60700000822544,353.4960000216961,29503,1572090,29503,1572090,10,89,10,89,0.018766737273311324,0.01842103455746872
https://galatta.com/,987.5980000197887,1498.192000001669,6147559,2844909,6147559,2844909,379,967,379,967,2.1608982923531124,0.6836342370081272
https://utexas.edu/,396.2470000088215,1238.5789999961853,20403,2760468,20403,2760468,1,68,1,68,0.007391138024421946,0.007336909910599952
https://fanpage.it/,598.1439999938011,3242.3369999974966,415859,1802028,415859,1802028,11,208,11,208,0.2307727737859789,0.18750233893791704
https://oldharper.xyz/,1014.0570000112057,1013.8870000094175,0,21513,0,21513,0,3,0,3,0.0,0.0
https://sushi.com/,309.1599999964237,430.027999997139,0,2059944,0,2059944,0,28,0,28,0.0,0.0
https://im.center/,1040.0929999798536,1133.630999982357,0,701057,0,701057,0,14,0,14,0.0,0.0
https://ucsd.edu/,1218.6620000004768,2910.6740000098944,46731,6655006,46731,6655006,2,63,2,63,0.007021932061368539,0.006972968351339362
https://mangarockteam.com/,1072.2469999939203,1068.4079999923706,20403,543982,20403,543982,1,50,1,50,0.03750675573824134,0.036150854469909725
https://aragontelevision.es/,1666.0340000092983,3193.0439999997616,351922,8458558,351922,8458558,24,173,24,173,0.041605436765935755,0.03994356720632701
https://clustrmaps.com/,882.2939999997616,1026.983000010252,20403,2488173,20403,2488173,1,81,1,81,0.008199992524635547,0.008133299529294707
https://tunisia-sat.com/,1587.66400000453,1644.8809999972582,0,917957,0,917957,0,54,0,54,0.0,0.0
https://rawpixel.com/,340.169999986887,658.0929999798536,0,2583730,0,2583730,0,67,0,67,0.0,0.0
https://dudasbecasmec.com/,3312.77800001204,3623.9410000145435,268976,1423693,268976,1423693,8,112,8,112,0.1889283714958211,0.15890643711204022
https://boston.com/,498.011000007391,1132.9909999966621,304122,2729485,304122,2729485,11,238,11,238,0.11142101898343461,0.10025095538083872
https://msnbc.com/,863.1199999898672,1685.2619999945164,395633,26496052,395633,26496052,13,531,13,531,0.014931771722066367,0.01471209409153796
https://china.com/,9299.011999994516,12501.21400000155,200938,7169220,200938,7169220,7,138,7,138,0.028027874719983484,0.027263730302661084
https://hometax.go.kr/,12714.324000000954,12714.155999988317,1845,1710124,1845,1710124,3,102,3,102,0.001078869134635851,0.0010777064304318595
https://edraak.org/,1486.3259999901056,1998.0339999943972,235682,3681080,235682,3681080,5,85,5,85,0.06402523172547188,0.060172663031350895
https://dns.la/,17591.954999998212,28658.85499998927,0,845968,0,845968,0,58,0,58,0.0,0.0
https://mmybt.com/,4103.115999996662,10944.758000001311,4284,1538291,4284,1538291,4,139,4,139,0.0027849087071301856,0.002777174529601478
https://codeforces.com/,1690.8780000209808,2037.6740000098944,0,772128,0,772128,0,99,0,99,0.0,0.0
https://wikiru.jp/,2396.0779999941587,14905.697999998927,20403,4140116,20403,4140116,1,119,1,119,0.004928122786897759,0.004903955492091251
https://zeebiz.com/,2084.7880000174046,4273.332000017166,731148,2331762,731148,2331762,35,551,35,551,0.3135603033242672,0.23871024613847616
https://aladtec.com/,633.0050000101328,933.7230000048876,20403,1853876,20403,1853876,1,61,1,61,0.01100559044941517,0.010885785947556367
https://roblox.com/,898.2559999972582,1164.182999998331,0,4042023,0,2021136,0,216,0,108,0.0,0.0
https://gmx.net/,10244.894999995828,10605.018000006676,3528320,2343690,1769099,1171835,49,252,24,124,1.509682677168714,0.601543251225631
https://patch.com/,411.24300000071526,511.0020000040531,0,2259317,0,1133188,0,140,0,70,0.0,0.0
https://w3school.com.cn/,1502.1949999928474,1723.1520000100136,40806,394704,20403,197341,2,42,1,21,0.10338956425679408,0.09370177823499155
https://xero.com/,1621.6410000026226,2475.5960000008345,71616,6557856,35808,3300964,4,196,2,99,0.010847740235882608,0.010731329560425464
https://legit.ng/,939.251999989152,4599.768999993801,165336,2902927,144933,1306320,3,614,2,313,0.11094754730846959,0.09986749381396627
https://faradars.org/,4377.030000001192,11687.84999999404,40806,5861126,20403,2937411,2,327,1,164,0.0069459125740320305,0.006897999671378931
https://jkforum.net/,2601.151000007987,3503.179000005126,498940,32121684,202800,16690470,12,315,5,159,0.012150646446744759,0.012004780601979369
https://ali213.net/,2305.5069999992847,3619.267000004649,379884,572087,379884,103223,265,289,134,144,3.6802263061526985,0.7863351183071245
https://canadiantire.ca/,656.8130000084639,650.6870000064373,0,4219,0,2108,0,4,0,2,0.0,0.0
https://weather.gov/,345.68600000441074,517.473999992013,0,1878094,0,939125,0,112,0,56,0.0,0.0
https://fao.org/,788.6499999910593,1834.253999993205,727225,19954215,125300,9947513,19,399,6,196,0.012596113219454953,0.012439424816086628
https://coolors.co/,665.1889999955893,734.4249999970198,40806,4831261,20403,2416336,2,96,1,48,0.008443776031147985,0.008373075655620073
https://easyhindityping.com/,473.56499998271465,474.90399999916553,725189,3191504,499981,1863634,54,462,35,274,0.2682828280660258,0.21153233500379715
https://easyhits4u.com/,360.4200000166893,1131.9920000135899,698426,5100379,349213,2549560,10,128,5,64,0.1369699085332371,0.12046924681580792
https://espn.com.mx/,1022.9330000132322,1982.3930000215769,866734,8684331,453932,4396162,26,535,15,281,0.10325643140539408,0.09359241284808088
https://techsmith.com/,337.2520000040531,1227.777999997139,155255,3888150,77790,1944461,8,242,4,121,0.040005945092238926,0.03846703500208431
https://worldofwarcraft.com/,682.2280000001192,1657.2379999905825,384425,15134597,192213,10761744,18,225,9,111,0.017860766805082893,0.01754735754394508
https://blackmagicdesign.com/,1232.0609999895096,1646.3029999881983,70644,8144225,35322,4072304,4,188,2,94,0.00867371394669946,0.008599127573931999
https://dnaindia.com/,1423.8460000157356,3844.7840000092983,2320074,6665378,1255741,2068429,113,849,67,430,0.6070989142001006,0.3777607643411739
https://job592.com/,4111.335000008345,5734.930000007153,0,764678,0,382394,0,42,0,21,0.0,0.0
https://akhbarona.com/,713.2469999939203,1207.18299998343,2054476,8662103,705833,4730919,80,756,31,396,0.14919574822566187,0.12982622712972747
https://nhk.jp/,1799.628999993205,2352.469999998808,0,6410835,0,3434424,0,159,0,80,0.0,0.0
https://juspay.in/,225.86200001835823,282.6909999996424,59011,3143209,29508,1571119,20,178,10,89,0.018781518140891938,0.018435275676344332
https://galatta.com/,6035.275999993086,7577.7210000008345,11924442,10334683,5776883,7489774,743,2100,364,1133,0.7713027122046673,0.4354437594941966
https://utexas.edu/,1169.0310000181198,2422.7800000160933,40806,5520924,20403,2760456,2,136,1,68,0.007391170154496213,0.0073369415709318596
https://fanpage.it/,509.042999997735,18452.500999987125,974529,4525204,558670,2723176,23,418,12,210,0.2051538350808027,0.17023041300536346
https://oldharper.xyz/,876.9849999845028,876.8119999915361,0,43029,0,21516,0,6,0,3,0.0,0.0
https://sushi.com/,303.16400000452995,451.082000002265,0,4119893,0,2059949,0,56,0,28,0.0,0.0
https://im.center/,702.902999997139,789.9679999947548,0,1402077,0,701020,0,28,0,14,0.0,0.0
https://ucsd.edu/,1130.820999994874,1603.557999998331,93471,13309916,46740,6654910,4,126,2,63,0.0070233857407538194,0.006974401826415883
https://mangarockteam.com/,1274.9919999986887,1278.4259999990463,40806,1087974,20403,543992,2,100,1,50,0.03750606626568038,0.03615021394590668
https://aragontelevision.es/,1255.0799999982119,3148.63599999249,711920,16944009,359998,8485451,46,346,22,173,0.042425323061791295,0.04069866888611307
https://clustrmaps.com/,904.8279999941587,1086.1539999991655,40806,4976442,20403,2488269,2,162,1,81,0.008199676160415132,0.00813298829021889
https://tunisia-sat.com/,1186.2879999876022,1474.5869999974966,0,1836413,0,918456,0,107,0,53,0.0,0.0
https://rawpixel.com/,239.31900000572205,380.1550000011921,962,4754301,962,2170571,1,139,1,72,0.0004432013511652003,0.0004430050107458648
https://dudasbecasmec.com/,1622.6630000025034,1830.8299999982119,537954,2849354,268978,1425661,16,223,8,111,0.18866897530338558,0.15872289024388084
https://boston.com/,352.15899999439716,881.7520000040531,787919,6312731,483797,3583246,28,583,17,345,0.1350164069114987,0.11895546715390026
https://msnbc.com/,1047.67199999094,1691.0699999928474,926909,53594720,531276,27098668,36,1094,23,563,0.01960524406587069,0.019228269156101076
https://china.com/,7676.914999991655,8882.631999984384,403832,14303782,202894,7134562,14,277,7,139,0.028438185833972708,0.027651818286883085
https://hometax.go.kr/,9922.366999998689,9922.193000003695,3692,3420060,1847,1709936,6,204,3,102,0.0010801573860074296,0.0010789919049318752
https://edraak.org/,1126.594999998808,1613.6459999978542,434101,7354334,198419,3673254,10,167,5,82,0.054017228321265015,0.05124890454333308
https://dns.la/,13103.392999991775,28540.439999997616,0,1691967,0,845999,0,116,0,58,0.0,0.0
https://mmybt.com/,3669.5610000044107,12271.094000011683,8568,3150153,4284,1611862,8,276,4,137,0.002657795766635109,0.002650750612877797
https://codeforces.com/,867.6650000065565,1074.1710000038147,0,1497248,0,725120,0,198,0,99,0.0,0.0
https://wikiru.jp/,2177.842999994755,15934.580999985337,40806,8280164,20403,4140048,2,238,1,119,0.004928203730971235,0.0049040356442126105
https://zeebiz.com/,1931.1780000030994,2819.9760000109673,1276719,4734630,545571,2402868,66,1044,31,493,0.22704992533921964,0.18503723495720956
https://aladtec.com/,637.0289999991655,1147.7889999896288,40806,3707777,20403,1853901,2,122,1,61,0.011005442038167087,0.010885640749846343
